GroupID,Character,Radical,Phonetic,Dazidian,Shuowen,Shuowen_clean,Dazidian_clean,Combined
31.0,佺,人部,全,,偓佺，仙人也。偓佺也。,偓佺，仙人也,,偓佺，仙人也
31.0,恮,心部,全,,謹也。,謹也,,謹也
32.0,倫,人部,侖,,輩也。,輩也,,輩也
32.0,惀,心部,侖,,欲知之皃。,欲知之皃,,欲知之皃
33.0,俌,人部,甫,,輔也。,輔也,,輔也
33.0,悑,心部,甫,,惶也。,惶也,,惶也
34.0,侍,人部,寺,侍奉；伺候,承也。,承也,侍奉,承也 侍奉
34.0,恃,心部,寺,依賴；倚仗,賴也。,賴也,依賴,賴也 依賴
35.0,側,人部,則,,㫄也。旁也。,㫄也,,㫄也
35.0,惻,心部,則,,痛也。,痛也,,痛也
36.0,侐,人部,血,清靜；寂靜,靜也。,靜也,清靜,靜也 清靜
36.0,恤,心部,血,憂；憂慮,憂也，收也。也。,憂也，收也,憂,憂也，收也 憂
37.0,俠,人部,夾,俠義；見義勇為,俜也。,俜也,俠義,俜也 俠義
37.0,㤲,心部,夾,思貌,思皃。,思皃,思貌,思皃 思貌
38.0,伯,人部,白,,長也。,長也,,長也
38.0,怕,心部,白,,無爲也。無僞也。,無爲也,,無爲也
39.0,佸,人部,舌,,會也。,會也,,會也
39.0,恬,心部,舌,,安也。,安也,,安也
40.0,佮,人部,合,,合也。,合也,,合也
40.0,恰,心部,合,,用心也。,用心也,,用心也
41.0,作,人部,乍,,起也。也。,起也,,起也
41.0,怍,心部,乍,,慙也。,慙也,,慙也
42.0,借,人部,昔,,假也。,假也,,假也
42.0,惜,心部,昔,,痛也。,痛也,,痛也
43.0,儉,人部,僉,,約也。,約也,,約也
43.0,憸,心部,僉,,憸詖也，憸利於上，佞人也。憸詖也。,憸詖也，憸利於上，佞人也,,憸詖也，憸利於上，佞人也
44.0,偭,人部,面,,鄉也。,鄉也,,鄉也
44.0,愐,心部,面,,勉也。,勉也,,勉也
45.0,倌,人部,官,,小臣也。,小臣也,,小臣也
45.0,悹,心部,官,,憂也。也。,憂也,,憂也
46.0,价,人部,介,,善也。,善也,,善也
46.0,忦,心部,介,,憂也。也。,憂也,,憂也
47.0,伹,人部,且,,拙也。,拙也,,拙也
47.0,怚,心部,且,,驕也。,驕也,,驕也
48.0,僭,人部,朁,,假也。儗也。,假也,,假也
48.0,憯,心部,朁,,痛也。,痛也,,痛也
49.0,倀,人部,長,,狂也。也。,狂也,,狂也
49.0,悵,心部,長,,望恨也。望也。,望恨也,,望恨也
50.0,伎,人部,支,,與也。,與也,,與也
50.0,忮,心部,支,,很也。也。,很也,,很也
51.0,佁,人部,台,,癡皃。,癡皃,,癡皃
51.0,怡,心部,台,,和也。龢也。,和也,,和也
52.0,僄,人部,票,,輕也。,輕也,,輕也
52.0,慓,心部,票,,疾也。,疾也,,疾也
53.0,俳,人部,非,雜戲；滑稽戲,戲也。,戲也,雜戲,戲也 雜戲
53.0,悱,心部,非,想說而說不出的樣子,口悱悱也。,口悱悱也,想說而說不出的樣子,口悱悱也 想說而說不出的樣子
54.0,侮,人部,每,欺凌；欺侮,傷也。㑥也。,傷也,欺凌,傷也 欺凌
54.0,悔,心部,每,悔恨；後悔,悔恨也。悔也。,悔恨也,悔恨,悔恨也 悔恨
55.0,什,人部,十,,相什保也。,相什保也,,相什保也
55.0,計,言部,十,,會也。,會也,,會也
56.0,仇,人部,九,,讎也。,讎也,,讎也
