GroupID,Character,Radical,Phonetic,Dazidian,Shuowen,Shuowen_clean,Dazidian_clean,Combined,x,y
24.0,憪,心部,閒,愉悅，閒適,愉也。,愉也,愉悅，閒適,愉也 愉悅，閒適,0.14702128,0.009006057
25.0,倬,人部,卓,大；顯明,箸大也。,箸大也,大,箸大也 大,0.020068303,-0.104822345
25.0,悼,心部,卓,恐懼；戰慄,懼也，陳楚謂懼曰悼。懼也。,懼也，陳楚謂懼曰悼,恐懼,懼也，陳楚謂懼曰悼 恐懼,0.36985758,0.0707304
26.0,儆,人部,敬,警戒，戒備,戒也。,戒也,警戒，戒備,戒也 警戒，戒備,0.32705128,-0.0021053054
26.0,憼,心部,敬,尊敬,敬也。,敬也,尊敬,敬也 尊敬,0.053205177,0.096319005
27.0,傭,人部,庸,均等；公平；齊整,均直也。均也。,均直也,均等,均直也 均等,-0.041106816,-0.032129247
27.0,慵,心部,庸,懶,嬾也。,嬾也,懶,嬾也 懶,-0.060453054,-0.14223102
28.0,佛,人部,弗,同彷。相似,見不審也。仿佛也。,見不審也,同彷。相似,見不審也 同彷。相似,0.21000351,-0.05726871
28.0,怫,心部,弗,悒鬱，心情不舒暢,鬱也。,鬱也,悒鬱，心情不舒暢,鬱也 悒鬱，心情不舒暢,0.42959008,-0.05009579
29.0,儋,人部,詹,,何也。,何也,,何也,-0.14469834,0.07575089
29.0,憺,心部,詹,,安也。,安也,,安也,-0.08565675,0.11322587
30.0,供,人部,共,,設也。,設也,,設也,-0.054780997,0.07477014
30.0,㤨,心部,共,,戰慄也。戰栗也。,戰慄也,,戰慄也,0.073883556,-0.002632118
31.0,佺,人部,全,,偓佺，仙人也。偓佺也。,偓佺，仙人也,,偓佺，仙人也,-0.03641151,-0.23208474
31.0,恮,心部,全,,謹也。,謹也,,謹也,0.020141983,0.084125966
32.0,倫,人部,侖,,輩也。,輩也,,輩也,-0.028393954,-0.017940471
32.0,惀,心部,侖,,欲知之皃。,欲知之皃,,欲知之皃,-0.0023866175,-0.03474507
33.0,俌,人部,甫,,輔也。,輔也,,輔也,-0.07865745,0.08002754
33.0,悑,心部,甫,,惶也。,惶也,,惶也,0.0825612,0.08519694
34.0,侍,人部,寺,侍奉；伺候,承也。,承也,侍奉,承也 侍奉,0.034321923,0.12675849
34.0,恃,心部,寺,依賴；倚仗,賴也。,賴也,依賴,賴也 依賴,0.031945217,0.088291116
35.0,側,人部,則,,㫄也。旁也。,㫄也,,㫄也,-0.28469464,-0.04363792
35.0,惻,心部,則,,痛也。,痛也,,痛也,0.10027884,0.18301308
36.0,侐,人部,血,清靜；寂靜,靜也。,靜也,清靜,靜也 清靜,0.061861083,0.01878376
36.0,恤,心部,血,憂；憂慮,憂也，收也。也。,憂也，收也,憂,憂也，收也 憂,0.2342299,0.12002313
37.0,俠,人部,夾,俠義；見義勇為,俜也。,俜也,俠義,俜也 俠義,-0.08225244,-0.18731126
37.0,㤲,心部,夾,思貌,思皃。,思皃,思貌,思皃 思貌,0.009355463,-0.10998478
38.0,伯,人部,白,,長也。,長也,,長也,-0.011759958,-0.054282628
38.0,怕,心部,白,,無爲也。無僞也。,無爲也,,無爲也,-0.0068633007,0.05368601
39.0,佸,人部,舌,,會也。,會也,,會也,-0.091043554,0.070367806
39.0,恬,心部,舌,,安也。,安也,,安也,-0.08565675,0.11322587
40.0,佮,人部,合,,合也。,合也,,合也,-0.0864346,0.093555875
40.0,恰,心部,合,,用心也。,用心也,,用心也,0.013550514,0.05569085
41.0,作,人部,乍,,起也。也。,起也,,起也,-0.06698146,0.060682382
41.0,怍,心部,乍,,慙也。,慙也,,慙也,-0.28469464,-0.04363792
42.0,借,人部,昔,,假也。,假也,,假也,-0.03818168,0.07583625
42.0,惜,心部,昔,,痛也。,痛也,,痛也,0.10027884,0.18301308
43.0,儉,人部,僉,,約也。,約也,,約也,-0.045016076,0.0683336
43.0,憸,心部,僉,,憸詖也，憸利於上，佞人也。憸詖也。,憸詖也，憸利於上，佞人也,,憸詖也，憸利於上，佞人也,0.09038182,-0.19202046
44.0,偭,人部,面,,鄉也。,鄉也,,鄉也,-0.061803006,0.07186383
44.0,愐,心部,面,,勉也。,勉也,,勉也,-0.033530496,0.062407102
45.0,倌,人部,官,,小臣也。,小臣也,,小臣也,0.010230484,-0.026575752
45.0,悹,心部,官,,憂也。也。,憂也,,憂也,0.109482914,0.16322216
46.0,价,人部,介,,善也。,善也,,善也,-0.045929424,0.041562945
46.0,忦,心部,介,,憂也。也。,憂也,,憂也,0.109482914,0.16322216
47.0,伹,人部,且,,拙也。,拙也,,拙也,-0.0003332911,-0.08186496
47.0,怚,心部,且,,驕也。,驕也,,驕也,-0.033101745,0.0011920353
48.0,僭,人部,朁,,假也。儗也。,假也,,假也,-0.03818168,0.07583625
48.0,憯,心部,朁,,痛也。,痛也,,痛也,0.10027884,0.18301308
49.0,倀,人部,長,,狂也。也。,狂也,,狂也,0.08062926,-0.04729732
49.0,悵,心部,長,,望恨也。望也。,望恨也,,望恨也,0.15912518,0.12438494
50.0,伎,人部,支,,與也。,與也,,與也,-0.10153003,0.056736752
50.0,忮,心部,支,,很也。也。,很也,,很也,-0.09828882,0.015448312
51.0,佁,人部,台,,癡皃。,癡皃,,癡皃,0.034852527,-0.17627312
51.0,怡,心部,台,,和也。龢也。,和也,,和也,-0.12831822,0.063373975
52.0,僄,人部,票,,輕也。,輕也,,輕也,-0.00968394,-0.059547067
52.0,慓,心部,票,,疾也。,疾也,,疾也,0.10007792,0.0957458
53.0,俳,人部,非,雜戲；滑稽戲,戲也。,戲也,雜戲,戲也 雜戲,0.039110314,0.00931275
53.0,悱,心部,非,想說而說不出的樣子,口悱悱也。,口悱悱也,想說而說不出的樣子,口悱悱也 想說而說不出的樣子,0.17357387,-0.05904568
54.0,侮,人部,每,欺凌；欺侮,傷也。㑥也。,傷也,欺凌,傷也 欺凌,0.19810328,0.025417516
54.0,悔,心部,每,悔恨；後悔,悔恨也。悔也。,悔恨也,悔恨,悔恨也 悔恨,0.20435056,0.11040112
55.0,什,人部,十,,相什保也。,相什保也,,相什保也,-0.020981919,0.05906458
55.0,計,言部,十,,會也。,會也,,會也,-0.091043554,0.070367806
56.0,仇,人部,九,,讎也。,讎也,,讎也,-0.28469464,-0.04363792
56.0,訄,言部,九,,迫也。,迫也,,迫也,0.026245877,0.12171449
57.0,仍,人部,乃,,因也。,因也,,因也,-0.117651,0.10729188
57.0,䚮,言部,乃,,厚也。,厚也,,厚也,-0.0066277124,-0.019809434
58.0,仜,人部,工,,大腹也。,大腹也,,大腹也,0.056441505,-0.108891696
58.0,訌,言部,工,,䜋也。,䜋也,,䜋也,-0.28469464,-0.04363792
59.0,仠,人部,干,,止也。,止也,,止也,-0.00038267506,0.13971639
59.0,訐,言部,干,,面相厈罪吿訐也。,面相厈罪吿訐也,,面相厈罪吿訐也,0.19754003,-0.09875339
60.0,儀,人部,義,,度也。,度也,,度也,-0.02399261,0.03919646
60.0,議,言部,義,,語也。,語也,,語也,-0.12900536,0.06584762
61.0,仞,人部,刃,,伸臂一尋八尺。,伸臂一尋八尺,,伸臂一尋八尺,0.11421262,-0.16208382
61.0,訒,言部,刃,,頓也。,頓也,,頓也,-0.072868116,0.07107855
62.0,付,人部,寸,,予也。,予也,,予也,-0.08050782,0.09525919
62.0,討,言部,寸,,治也。,治也,,治也,-0.061582427,0.1036021
63.0,佗,人部,它,,負何也。,負何也,,負何也,-0.01190773,0.09139168
63.0,詑,言部,它,,變佗爲他，用爲彼之偁。,變佗爲他，用爲彼之偁,,變佗爲他，用爲彼之偁,0.118104495,-0.06832958
64.0,仚,人部,山,,人在山上皃。,人在山上皃,,人在山上皃,0.02818704,-0.117223546
64.0,訕,言部,山,,謗也。,謗也,,謗也,0.003282605,0.007485738
65.0,仡,人部,乞,,勇壯也。,勇壯也,,勇壯也,0.05868588,-0.12278224
65.0,訖,言部,乞,,止也。,止也,,止也,-0.00038267506,0.13971639
66.0,傴,人部,區,,僂也。,僂也,,僂也,-0.28469464,-0.04363792
66.0,謳,言部,區,,齊歌也。,齊歌也,,齊歌也,-0.022400673,0.051164567
67.0,伀,人部,公,,志及衆也。,志及衆也,,志及衆也,0.052905425,-0.050701775
67.0,訟,言部,公,,爭也。,爭也,,爭也,-0.0021681772,0.078958124
68.0,仿,人部,方,,仿佛，逗。,仿佛，逗,,仿佛，逗,0.106528714,-0.03446219
68.0,訪,言部,方,,汎謀曰訪。,汎謀曰訪,,汎謀曰訪,0.09059213,-0.04258902
69.0,優,人部,憂,,饒也。,饒也,,饒也,-0.014263005,-0.0018185145
69.0,訧,言部,尤,,罪也。,罪也,,罪也,0.07799,0.09478203
70.0,偉,人部,韋,,奇也。,奇也,,奇也,-0.078384325,-0.052832797
70.0,諱,言部,韋,,忌也。,忌也,,忌也,0.14561248,0.11598539
71.0,伿,人部,只,,惰也。,惰也,,惰也,0.026491888,-0.01063902
71.0,識,言部,只,,常也。,常也,,常也,-0.05687629,0.04236973
72.0,何,人部,可,,儋也。,儋也,,儋也,-0.022592435,-0.008971703
72.0,訶,言部,可,,大言而怒也。,大言而怒也,,大言而怒也,0.16353913,-0.043461505
73.0,伹,人部,且,,拙也。,拙也,,拙也,-0.0003332911,-0.08186496
73.0,詛,言部,且,,詶也。,詶也,,詶也,-0.28469464,-0.04363792
74.0,佁,人部,台,,癡皃。,癡皃,,癡皃,0.034852527,-0.17627312
74.0,詒,言部,台,,相欺詒也。,相欺詒也,,相欺詒也,0.053869464,-0.033991918
75.0,佚,人部,失,,佚民也。,佚民也,,佚民也,0.03149716,-0.025262529
75.0,詄,言部,失,,忘也。,忘也,,忘也,-0.013807218,0.11259187
76.0,低,人部,氐,,下也。,下也,,下也,-0.083527096,0.06423192
76.0,詆,言部,氐,,訶也。,訶也,,訶也,-0.058394786,0.017282756
77.0,佋,人部,召,,廟佋穆。,廟佋穆,,廟佋穆,0.010489616,-0.076121986
77.0,詔,言部,召,,告也。,告也,,告也,-0.047759876,0.14834037
78.0,作,人部,乍,,起也。,起也,,起也,-0.06698146,0.060682382
78.0,詐,言部,乍,,欺也。,欺也,,欺也,0.031177353,0.04144622
79.0,佮,人部,合,,合也。,合也,,合也,-0.0864346,0.093555875
79.0,詥,言部,合,,諧也。,諧也,,諧也,-0.002642668,0.044936985
80.0,侁,人部,先,,行皃。,行皃,,行皃,-0.035796653,-0.055844173
80.0,詵,言部,先,,致言也。,致言也,,致言也,-0.010920872,0.098896496
81.0,佳,人部,圭,,善也。,善也,,善也,-0.045929424,0.041562945
81.0,詿,言部,圭,,誤也。,誤也,,誤也,0.013600378,0.037912037
82.0,侙,人部,式,,惕也。,惕也,,惕也,-0.0061999816,0.08520799
82.0,試,言部,式,,用也。,用也,,用也,-0.06681371,0.085826956
83.0,侍,人部,寺,,承也。,承也,,承也,-0.06999928,0.120074466
83.0,詩,言部,寺,,志也。,志也,,志也,-0.04552738,0.056200482
84.0,佶,人部,吉,,正也。,正也,,正也,-0.11747473,0.036924366
84.0,詰,言部,吉,,問也。,問也,,問也,-0.10756431,0.10062577
85.0,侚,人部,旬,,疾也。,疾也,,疾也,0.10007792,0.0957458
85.0,詢,言部,旬,,謀也。,謀也,,謀也,0.009661457,0.05458395
86.0,佸,人部,舌,,會也。,會也,,會也,-0.091043554,0.070367806
86.0,話,言部,舌,,會合善言也。,會合善言也,,會合善言也,0.017398361,0.020063851
87.0,佺,人部,全,,偓佺也。,偓佺也,,偓佺也,-0.23328575,-0.058021825
87.0,詮,言部,全,,具也。,具也,,具也,-0.095337175,0.053267755
88.0,侅,人部,亥,,奇侅，非常也。,奇侅，非常也,,奇侅，非常也,0.04044594,-0.1847949
88.0,該,言部,亥,,軍中約也。,軍中約也,,軍中約也,0.05540286,-0.008543047
89.0,侈,人部,多,,掩脅也。,掩脅也,,掩脅也,0.07900272,0.04040732
89.0,誃,言部,多,,離别也。,離别也,,離别也,0.079847045,0.116015546
90.0,侗,人部,同,,大皃。,大皃,,大皃,-0.078059144,-0.1978008
90.0,詷,言部,同,,共也。,共也,,共也,-0.079945944,0.08434369
91.0,佻,人部,兆,,愉也。,愉也,,愉也,-0.017916042,0.10082749
91.0,誂,言部,兆,,相呼誘也。,相呼誘也,,相呼誘也,0.04697626,0.019140294
92.0,儔,人部,壽,,翳也。,翳也,,翳也,0.016149698,0.014398982
92.0,譸,言部,壽,,詶也。,詶也,,詶也,-0.28469464,-0.04363792
93.0,侮,人部,每,,㑥也。,㑥也,,㑥也,-0.28469464,-0.04363792
93.0,誨,言部,每,,曉教也。,曉教也,,曉教也,0.0036591406,0.011093691
94.0,俁,人部,吳,,大也。,大也,,大也,-0.08157007,-0.036106188
94.0,誤,言部,吳,,謬也。,謬也,,謬也,-0.004081451,0.0145873
95.0,俑,人部,甬,,痛也。,痛也,,痛也,0.10027884,0.18301308
95.0,誦,言部,甬,,諷也。,諷也,,諷也,-0.008091601,0.019395027
96.0,俌,人部,甫,,輔也。,輔也,,輔也,-0.07865745,0.08002754
96.0,誧,言部,甫,,大也。,大也,,大也,-0.08157007,-0.036106188
97.0,信,人部,言,,誠也。,誠也,,誠也,-0.078486495,0.06553213
97.0,誩,言部,言,,竸言也。,竸言也,,竸言也,-0.1691848,-0.008572746
98.0,俄,人部,我,,頃也。,頃也,,頃也,-0.023926346,-0.030806819
98.0,誐,言部,我,,嘉善也。,嘉善也,,嘉善也,0.0019215267,0.023407493
99.0,倪,人部,兒,,俾也。,俾也,,俾也,-0.051621582,0.057094343
99.0,誽,言部,兒,,言相誽司也。,言相誽司也,,言相誽司也,-0.00040650665,-0.026894184
100.0,倜,人部,周,,倜儻，不羈也。,倜儻，不羈也,,倜儻，不羈也,0.13577281,-0.23659708
100.0,調,言部,周,,龢也。,龢也,,龢也,-0.28469464,-0.04363792
101.0,倅,人部,卒,,副也。,副也,,副也,-0.041778196,0.09921876
101.0,誶,言部,卒,,讓也。,讓也,,讓也,-0.08043377,0.116754055
102.0,倭,人部,委,,須皃。,須皃,,須皃,-0.047619555,-0.0840768
102.0,諉,言部,委,,諈諉也。,諈諉也,,諈諉也,-0.23328575,-0.058021825
103.0,借,人部,昔,,假也。,假也,,假也,-0.03818168,0.07583625
103.0,諎,言部,昔,,大聲也。,大聲也,,大聲也,0.0032683243,-0.05640237
104.0,倩,人部,青,,人美字也。,人美字也,,人美字也,-0.00064301095,-0.12568864
104.0,請,言部,青,,謁也。,謁也,,謁也,-0.03786682,0.06608609
105.0,倞,人部,京,,彊也。,彊也,,彊也,-0.28469464,-0.04363792
105.0,諒,言部,京,,信也。,信也,,信也,-0.051384598,0.09953123
106.0,倫,人部,侖,,輩也。,輩也,,輩也,-0.028393954,-0.017940471
106.0,論,言部,侖,,議也。,議也,,議也,-0.06539211,0.10791702
107.0,俴,人部,戔,,淺也。,淺也,,淺也,-0.005909877,-0.045048025
107.0,諓,言部,戔,,善言也。,善言也,,善言也,-0.015253156,-0.0035447998
108.0,倅,人部,卒,,副也。,副也,,副也,-0.041778196,0.09921876
108.0,誶,言部,卒,,讓也。,讓也,,讓也,-0.08043377,0.116754055
109.0,偏,人部,扁,,頗也。,頗也,,頗也,-0.06484474,-0.005737887
109.0,諞,言部,扁,,便巧言也。,便巧言也,,便巧言也,0.0456433,-0.060233187
110.0,偉,人部,韋,,奇也。,奇也,,奇也,-0.078384325,-0.052832797
110.0,諱,言部,韋,,忌也。,忌也,,忌也,0.14561248,0.11598539
111.0,偲,人部,思,,彊力也。,彊力也,,彊力也,-0.10929942,-0.07094882
111.0,諰,言部,思,,思之意。,思之意,,思之意,0.11157642,0.066887625
112.0,偕,人部,皆,,彊也。,彊也,,彊也,-0.28469464,-0.04363792
112.0,諧,言部,皆,,詥也。,詥也,,詥也,-0.28469464,-0.04363792
113.0,傔,人部,兼,,從也。,從也,,從也,-0.12474034,0.080550455
113.0,謙,言部,兼,,敬也。,敬也,,敬也,-0.014979842,0.115495495
114.0,儻,人部,黨,,《說文新附》：“儻，倜儻也。,《說文新附》：“儻，倜儻也,,《說文新附》：“儻，倜儻也,0.02594364,-0.23452823
114.0,讜,言部,黨,,直言也。,直言也,,直言也,-0.04595382,0.04891092
115.0,傍,人部,旁,,近也。,近也,,近也,-0.0777548,0.09241074
115.0,謗,言部,旁,,毁也。,毁也,,毁也,0.076979,0.10648897
116.0,僂,人部,婁,,厄也。,厄也,,厄也,0.016919216,0.07963628
116.0,謱,言部,婁,,謰謱也。,謰謱也,,謰謱也,-0.23328575,-0.058021825
117.0,傪,人部,參,,好皃。,好皃,,好皃,-0.053960517,-0.10745338
117.0,謲,言部,參,,相怒使也。,相怒使也,,相怒使也,0.17197268,0.021649724
118.0,傴,人部,區,,僂也。,僂也,,僂也,-0.28469464,-0.04363792
118.0,謳,言部,區,,齊歌也。,齊歌也,,齊歌也,-0.022400673,0.051164567
119.0,傲,人部,敖,,倨也。,倨也,,倨也,-0.28469464,-0.04363792
119.0,謷,言部,敖,,不省人言也。,不省人言也,,不省人言也,0.048935372,-0.0014480042
120.0,僅,人部,堇,,材能也。,材能也,,材能也,-0.025610358,-0.047008578
120.0,謹,言部,堇,,愼也。,愼也,,愼也,-0.28469464,-0.04363792
121.0,僇,人部,翏,,癡行僇僇也。,癡行僇僇也,,癡行僇僇也,0.04652048,-0.15291138
121.0,謬,言部,翏,,狂者之妄言也。,狂者之妄言也,,狂者之妄言也,0.16036461,-0.05840691
122.0,僭,人部,朁,,儗也。,儗也,,儗也,-0.28469464,-0.04363792
122.0,譖,言部,朁,,愬也。,愬也,,愬也,-0.28469464,-0.04363792
123.0,僖,人部,喜,,樂也。,樂也,,樂也,-0.02467133,0.0889714
123.0,譆,言部,喜,,痛也。,痛也,,痛也,0.10027884,0.18301308
124.0,僩,人部,閒,,武皃。,武皃,,武皃,-0.061833426,-0.17156413
124.0,譋,言部,閒,,讕或从閒。,讕或,,讕或,-0.13189101,-0.078318805
125.0,僞,人部,爲,,詐也。,詐也,,詐也,0.009815393,-0.012390895
125.0,譌,言部,爲,,譌言也。,譌言也,,譌言也,-0.1691848,-0.008572746
126.0,僥,人部,堯,,南方有焦僥人長三尺，短之極也。,南方有焦僥人長三尺，短之極也,,南方有焦僥人長三尺，短之極也,0.23539662,-0.22271472
126.0,譊,言部,堯,,恚嘑也。,恚嘑也,,恚嘑也,0.14223135,-0.06489197
127.0,僟,人部,幾,,精謹也。,精謹也,,精謹也,0.019021632,-0.03618383
127.0,譏,言部,幾,,誹也。,誹也,,誹也,-0.001547391,0.012145676
128.0,儇,人部,睘,,慧也。,慧也,,慧也,-0.012875666,-0.07307367
128.0,譞,言部,睘,,譞、此複舉字之未刪者。,譞、此複舉字之未刪者,,譞、此複舉字之未刪者,0.022660153,-0.15205565
129.0,儉,人部,僉,,約也。,約也,,約也,-0.045016076,0.0683336
129.0,譣,言部,僉,,問也。,問也,,問也,-0.10756431,0.10062577
130.0,儆,人部,敬,,戒也。,戒也,,戒也,0.10800337,0.0585913
130.0,警,言部,敬,,言之戒也。,言之戒也,,言之戒也,0.13986139,0.052502602
131.0,僻,人部,辟,,辟也。,辟也,,辟也,-0.019492097,0.040505067
131.0,譬,言部,辟,,諭也。,諭也,,諭也,-0.079904296,0.06685262
132.0,儀,人部,義,,度也。,度也,,度也,-0.02399261,0.03919646
132.0,議,言部,義,,語也。,語也,,語也,-0.12900536,0.06584762
133.0,儔,人部,壽,,翳也。,翳也,,翳也,0.016149698,0.014398982
133.0,譸,言部,壽,,詶也。,詶也,,詶也,-0.28469464,-0.04363792
134.0,儗,人部,疑,,僭也。,僭也,,僭也,-0.0043022707,-0.0008326001
134.0,譺,言部,疑,,騃也。,騃也,,騃也,-0.28469464,-0.04363792
135.0,儡,人部,畾,,相敗也。,相敗也,,相敗也,0.06964084,0.056988586
135.0,讄,言部,畾,,禱也。,禱也,,禱也,0.0072231526,0.11128099
136.0,儥,人部,賣,,見也。,見也,,見也,-0.0507308,0.049751498
136.0,讀,言部,賣,,籒書也。,籒書也,,籒書也,-0.13739683,-0.043295447
137.0,儳,人部,毚,,儳互、逗。,儳互、逗,,儳互、逗,0.020979585,-0.049077857
137.0,讒,言部,毚,,譖也。,譖也,,譖也,-0.28469464,-0.04363792
138.0,儻,人部,黨,,倜儻也。,倜儻也,,倜儻也,-0.03823541,-0.1619659
138.0,讜,言部,黨,,直言也。,直言也,,直言也,-0.04595382,0.04891092
