GroupID,Phonetic,Pair,Char_From,Char_To,Radical_From,Radical_To,Direction,Distance,Angle,dx,dy,Shift_Level
26.0,敬,儆(人部) → 憼(心部),儆,憼,人部,心部,人部 → 心部,0.2909966202656006,160.23081772029806,-0.273846103,0.09842431039999999,微弱变动
15.0,圭,佳(人部) → 恚(心部),佳,恚,人部,心部,人部 → 心部,0.29195598665834316,14.316758096859695,0.28288884,0.07219558400000001,微弱变动
43.0,僉,儉(人部) → 憸(心部),儉,憸,人部,心部,人部 → 心部,0.2934566864116584,-62.523180513780645,0.13539789600000002,-0.26035406,微弱变动
31.0,全,佺(人部) → 恮(心部),佺,恮,人部,心部,人部 → 心部,0.3212281247953228,79.86000037245861,0.056553492999999996,0.316210706,微弱变动
24.0,閒,僩(人部) → 憪(心部),僩,憪,人部,心部,人部 → 心部,0.3256455712696144,99.10982467531421,-0.051558610000000005,0.321538097,微弱变动
16.0,亥,侅(人部) → 㤥(心部),侅,㤥,人部,心部,人部 → 心部,0.32900204861267635,67.25244144000584,0.12721577,0.30341143000000004,微弱变动
2.0,刃,仞(人部) → 忍(心部),仞,忍,人部,心部,人部 → 心部,0.33138038182384866,121.99091592569937,-0.17556029,0.28105434,微弱变动
22.0,參,傪(人部) → 慘(心部),傪,慘,人部,心部,人部 → 心部,0.3318248551291983,22.80380170145125,0.30588857399999997,0.1286076,微弱变动
5.0,夋,俊(人部) → 悛(心部),俊,悛,人部,心部,人部 → 心部,0.339387761885857,86.7089431027001,0.019483639999999997,0.33882804,微弱变动
19.0,貴,僓(人部) → 憒(心部),僓,憒,人部,心部,人部 → 心部,0.3409171958849254,23.828621914072908,0.31185672,0.137731335,微弱变动
3.0,交,佼(人部) → 恔(心部),佼,恔,人部,心部,人部 → 心部,0.3482399669294237,-121.18745274079505,-0.180332473,-0.29791152,微弱变动
25.0,卓,倬(人部) → 悼(心部),倬,悼,人部,心部,人部 → 心部,0.3913710574138279,26.651224981012348,0.349789277,0.175552745,微弱变动
10.0,中,仲(人部) → 忡(心部),仲,忡,人部,心部,人部 → 心部,0.426608719800794,-5.37467365499391,0.42473312,-0.039959687,微弱变动
35.0,則,側(人部) → 惻(心部),側,惻,人部,心部,人部 → 心部,0.4467384649930095,30.487213255119023,0.38497348,0.226651,微弱变动
20.0,同,侗(人部) → 恫(心部),侗,恫,人部,心部,人部 → 心部,0.4893626447279981,42.16255551082429,0.362736844,0.328477975,微弱变动
112.0,皆,偕(人部) → 諧(言部),偕,諧,人部,言部,人部 → 言部,0.0,0.0,0.0,0.0,微弱变动
122.0,朁,僭(人部) → 譖(言部),僭,譖,人部,言部,人部 → 言部,0.0,0.0,0.0,0.0,微弱变动
68.0,方,仿(人部) → 訪(言部),仿,訪,人部,言部,人部 → 言部,0.017889104936747273,-152.98078039810264,-0.01593658399999999,-0.008126830000000002,微弱变动
62.0,寸,付(人部) → 討(言部),付,討,人部,言部,人部 → 言部,0.020682713735691187,23.789397892162672,0.018925392999999992,0.008342910000000009,微弱变动
130.0,敬,儆(人部) → 警(言部),儆,警,人部,言部,人部 → 言部,0.03243463706680875,-10.819877983080513,0.03185802,-0.0060886979999999966,微弱变动
101.0,卒,倅(人部) → 誶(言部),倅,誶,人部,言部,人部 → 言部,0.042446907684853805,155.59957104390065,-0.038655574000000005,0.017535294999999992,微弱变动
